position,company,location,flag
Azure Data Engineer,Accenture,"Atlanta, GA",5
Sr. Data Engineer,Capgemini,"Atlanta, GA",5
Research Assistant III,Morehouse School Of Medicine,"Atlanta, GA",5
Sr. Data Management Analyst,healthgrades,"Atlanta, GA",5
Reimbursement Analyst,Craneware,"Atlanta, GA",5
"Data Analyst III ( SQL, Healthcare,, Microstrategy)",Peach State Health Plan,"Smyrna, GA",5
Entry Level Accenture Infrastructure Advisory Analyst,Accenture,"Atlanta, GA",5
Registered Behavior Technician (RBT),Independence Behavior Solutions,"Savannah, GA",5
"Associate, Oracle Analytics",KPMG,"Atlanta, GA",5
Registered Behavior Technician,Easter Seals North Georgia,"Norcross, GA",5
Sr. Consultant - Data Strategy & Advisory Services,Capgemini,"Atlanta, GA",5
"Associate, Big Data Software Engineer",KPMG,"Atlanta, GA",5
Law Enforcement Senior Learning Application Analyst,IBM,"Atlanta, GA",5
Quantitative Financial Analyst,Bank of America,"Atlanta, GA",5
Lead Big Data Engineer,The Coca-Cola Company,"Atlanta, GA",5
Sr. Strategy Data Analyst,"Cotiviti, Inc.","Atlanta, GA",5
Director of Performance Analytics - Hilton Atlanta & Towers,Hilton Hotels & Resorts,"Atlanta, GA",5
Data Analytics Senior Architect,Ventiv Technology,"Atlanta, GA",5
Quality Assurance Manager,Sequium,"Marietta, GA",5
QlikView Developer,Travelport,"Atlanta, GA",5
QA Engineer,IDology,"Atlanta, GA",5
PwC Digital Data Architect,PwC,"Atlanta, GA",5
Associate Director - Software Engineering,Humans Doing,"Atlanta, GA",5
Data Analyst,MAG Mutual Insurance Company,"Atlanta, GA",5
"Resale Team Lead - Atlanta, GA",Zillow Group,"Atlanta, GA",5
Inventory Control Lead Analyst,DSC Logistics,"McDonough, GA",5
Sr. Analytics Business Consultant (GA),Lumeris,"Atlanta, GA",5
BI Program Manager,Candid Partners,"Atlanta, GA",5
Back-end Engineer (multiple levels),Bishop Fox,"Atlanta, GA",5
Big Data Architect,Equifax,"Alpharetta, GA",5
Sales Executive - Managed Analytics,Deloitte,"Atlanta, GA",5
"Sr. Associate, Data Scientist Optimization",KPMG,"Atlanta, GA",5
Sr. Analytics Consultant,Dematic,"Atlanta, GA",5
"Sr. Associate, Big Data Software Engineer",KPMG,"Atlanta, GA",5
Big Data / Business Intelligence Solutions Architect,REPAY,"Atlanta, GA",5
"Safety & Analytics Management Leader, AIGRM",AIG,"Atlanta, GA",5
Sales Support Specialist,HealthTronics,"Woodstock, GA",5
Data Analyst,Dematic,"Atlanta, GA",5
"Director, Analytics",Greensky,"Atlanta, GA",5
Sr. Big Data Engineer,Fractal Analytics,"Alpharetta, GA",5
Logistics Analyst,Armada Supply Chain Solutions LLC,"Atlanta, GA",4
"Lead Analyst, Bank Analytics",Cardlytics,"Atlanta, GA",4
HR Generalist,Teradata,"Atlanta, GA",4
Healthcare Data Management Analyst (Revenue Integrity),Change Healthcare,"Atlanta, GA",4
IT Business Intelligence Manager-Atlanta,Crystal Springs Water,"Atlanta, GA",4
Hotel Revenue Analyst,Peachtree Hospitality Management,"Atlanta, GA",4
Lead Data Engineer - Buckhead - 8491,Cortland,"Atlanta, GA",4
Intern - MAGNet Program @ University of Georgia (Spring 2020),DXC,"Athens, GA",4
IT Enterprise Asset Management & Analytics Internship,Kimberly-Clark,"Atlanta, GA",4
Manager of Supply Chain Data Analytics,"Carters, Inc","Atlanta, GA",4
MARKETING COORDINATOR,Reynolds Lake Oconee,"Greensboro, GA",4
MES programmer Analyst - IG,Takeda Pharmaceuticals,"Social Circle, GA",4
"Health Informatics Data Architect, Senior",Booz Allen Hamilton,"Atlanta, GA",4
IVR Performance Analyst,Bank of America,"Kennesaw, GA",4
Internal Audit - Analytics Senior Consultant,Deloitte,"Atlanta, GA",4
Forensic Analytics - Manager,Deloitte,"Atlanta, GA",4
IT Systems Supervisor (Network & Telecommunications),Gwinnett County,"Gwinnett County, GA",4
HR Business Analyst,"Carters, Inc","Atlanta, GA",4
Inventory Analyst 1,CSM Bakery Solutions,"Tucker, GA",4
(Senior) Consultant for Big Data Platforms,MHP – A Porsche Company,"Atlanta, GA",4
Influencer Marketing Executive,Liquid,"Atlanta, GA",4
INVENTORY PLANNING ANALYST,The Home Depot,"Atlanta, GA",4
Healthcare Provider Consultant,"Doctors ACO, LLC","Athens, GA",4
"Global Indirect, Analytics & Integration Mgr",MacDermid Inc.,"Atlanta, GA",4
Lead Data Strategy & Advisory Consultant,Capgemini,"Atlanta, GA",4
Junior Designer,SUPPLY.com,"Atlanta, GA",4
Junior Data Analyst,"Solid Foundation Properties, LLC","Smyrna, GA",4
Manager - Contract Analytics & Risk Management,Verizon,"Alpharetta, GA",4
Insights & Analytics Manager,MotoRad,Georgia,4
Logistics Analyst,Booz Allen Hamilton,"Albany, GA",4
"IOT Analytics and Insights Product Management Leader, Hospitality",NCR,"Atlanta, GA",4
Manager Data Scientist,Verizon,"Alpharetta, GA",4
Labor and Employee Relations Asc,LOCKHEED MARTIN CORPORATION,"Marietta, GA",4
Informatics Data Analyst III,Emory University,"Atlanta, GA",4
Fraud Representative II - Cyber-security,InComm,"Columbus, GA",4
Manager Loyalty Development Analytics,InterContinental Hotels Group,"Atlanta, GA",4
Fraud Execution Leader,Equifax,"Alpharetta, GA",4
IT Assurance Manager,CDK Global,"Alpharetta, GA",4
"IMPLEMENTATION SPECIALIST, CMMS",Varian Medical Systems,"Peachtree Corners, GA",4
Manager of Compliance,Homestar Financial Corporation,"Flowery Branch, GA",4
Intern,UL LLC,"Atlanta, GA",4
Lead Data Scientist,Invesco,"Atlanta, GA",4
IT Senior Analyst,NAPA Auto Parts,"Atlanta, GA",4
(Senior) Consultant for Big Data Analytics,MHP – A Porsche Company,"Atlanta, GA",4
"Manager, Analytics","Moxie Interactive, Inc.","Atlanta, GA",4
Sr. Decision Suport Analyst,Grady Health System,"Atlanta, GA",4
Sr. Data & Insight Analyst,"Cotiviti, Inc.","Atlanta, GA",4
"Sr. Business Analyst, Labor Analytics",The Home Depot,"Atlanta, GA",4
"Sr. Associate, Data Scientist, Natural Language Processing",KPMG,"Atlanta, GA",4
"Sr. Associate, Data & Analytics Modeler, Machine Learning",KPMG,"Atlanta, GA",4
"Sr. Analyst, Compensation & HR Analytics","Carters, Inc","Atlanta, GA",4
Sr Data Science Analyst,AFLAC,"Columbus, GA",4
"Specialist, Data Science - Sales Analytics",McKinsey & Company,"Atlanta, GA",4
Solutions Consultant,AnswerRocket,"Atlanta, GA",4
Solution Consultant_US,Genpact,Georgia,4
Software Engineer Intern,ViaSat,"Atlanta, GA",4
Software Engineer - Entry to Experienced Level (Multiple Locations,National Security Agency,"Fort Gordon, GA",4
Social Analyst,"Moxie Interactive, Inc.","Atlanta, GA",4
Shopify eCommerce Manager,Equifax,"Marietta, GA",4
Service Intern (Summer 2020),Kubota Tractor Corporation,"Suwanee, GA",4
Senior Research Analyst,Southern Poverty Law Center,"Atlanta, GA",4
"Senior Manager, Business Intelligence",AFLAC,"Columbus, GA",4
Senior Manager – Fraud Analytics and Strategy,Simplified IT Products,"Atlanta, GA",4
Senior Manager – Fraud Analytics and Strategy,"Rent-A-Center, Inc.","Atlanta, GA",4
Senior Manager – Business Intelligence,Rent-A-Center,"Atlanta, GA",4
Senior Manager - Analytics Decisioning (Technical),Merkle Inc.,"Alpharetta, GA",4
"Senior Expert, Data Science - Travel, Transport and Logistics",McKinsey & Company,"Atlanta, GA",4
Senior Enterprise Analytics and Reporting (Business Intelligence),RentPath,"Atlanta, GA",4
"Senior Director, Analytics – Internal Fraud and Authentication",Greensky,"Alpharetta, GA",4
Senior Director - Commercial Analytics Leader,Equifax,"Atlanta, GA",4
"Senior Data Scientist, Online",The Home Depot,"Atlanta, GA",4
Senior Data Scientist – Global Identity and Fraud,Equifax,"Atlanta, GA",4
Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Atlanta, GA",4
"Senior Data Scientist - 360i, Atlanta",Dentsu Aegis Network,"Atlanta, GA",4
Senior Data Scientist,GEORGIA-PACIFIC,"Atlanta, GA",4
Sr. Data Architect,"Carters, Inc","Atlanta, GA",4
Sr. HR Analytics Specialist,Mohawk Industries,"Calhoun, GA",4
"Manager, Big Data Software Engineer",KPMG,"Atlanta, GA",4
Sr. Transportation Analyst,SiteOne Landscape Supply,"Roswell, GA",4
iOS Developer,Tastypill,"Atlanta, GA",4
eCommerce Specialist,Romanoff Renovations,"Smyrna, GA",4
Visualization BI Lead,Risk Solutions,"Alpharetta, GA",4
"Vice President, Sales Americas",Reed Business Information,"Alpharetta, GA",4
Vice President of Strategy & Insights,FOCUS Brands,"Atlanta, GA",4
Vice President of Customer Service Operations,"Systems & Methods, Inc (SMI)","Carrollton, GA",4
Transaction Processing Associate II,Conduent,"Stockbridge, GA",4
Trading Partner Support Agent,Waystar,"Duluth, GA",4
Territory Sales Representative,Merchants Preferred,"Hiram, GA",4
Territory Sales Manager – Undergraduate - Southeast,Altria,"Atlanta, GA",4
Telecommute WordPress Web Developer,TEMBERTON ANALYTICS,"Alpharetta, GA",4
Telecom Management Analyst,Republic National Distributing Company (RNDC),"Atlanta, GA",4
Technology Summer Internship 2020,Johnson & Johnson Family of Companies,Georgia,4
"Technology Director, Data and Analytics",KPMG,"Atlanta, GA",4
Technology Co-Op Spring 2020,Johnson & Johnson Family of Companies,Georgia,4
Systems Engineer I,Warner Bros Careers,"Atlanta, GA",4
System Consultant,Riskonnect Inc,"Kennesaw, GA",4
Support Analyst II,Infranet Technologies Group,"Atlanta, GA",4
Supply Chain Strategic Projects Manager,Delta Air Lines,"Atlanta, GA",4
Supply Chain Data Analyst,Children's Healthcare of Atlanta,"Atlanta, GA",4
Supply Chain Analyst,Merchants Preferred,"Atlanta, GA",4
Supply Chain & Inventory Analyst,Brightstar Corp.,"Alpharetta, GA",4
"Supervisor, Programmatic (Zenith, Precision)",Zenith,"Atlanta, GA",4
Summer Internship Program – All Majors,Risk Solutions,"Alpharetta, GA",4
Student Intern,FRESENIUS,"Atlanta, GA",4
Strategy Analyst II/III,Bank of America,"Kennesaw, GA",4
Strategic Operations Intern - Paid FALL Internship,Altisource,"Sandy Springs, GA",4
Statistician,Piedmont Healthcare,"Atlanta, GA",4
Staff VP End to End Solutions (E2E) - PS26434,"Anthem, Inc.","Atlanta, GA",4
Senior Data Engineer,ThoughtWorks,"Atlanta, GA",4
Senior Data Analyst,"The Steritech Group, Inc.","Atlanta, GA",4
Senior Data Analyst,KPMG,"Atlanta, GA",4
Senior Data Analyst,Equifax,"Alpharetta, GA",4
Proposal Solution Representative Job,Acuity Brands,"Conyers, GA",4
Program Manager - IAW,"Certified Technical Experts, Inc.","Kennesaw, GA",4
Professional Programmer Analyst (51000717),"International Services, LLC","Columbus, GA",4
Process Integration Analyst,Facebook,"Newton County, GA",4
Principal Data Scientist,Verizon,"Alpharetta, GA",4
"Principal Data Architect, Data Lake & Analytics","Amazon Web Services, Inc.","Atlanta, GA",4
"Principal Data Analyst, Crew Operations Analysis and Performance",Delta Air Lines,"Atlanta, GA",4
Principal Consultant - Data & Analytics,Neudesic LLC,"Atlanta, GA",4
Pricing & Contract Specialist,GAT Airline Support,"Peachtree City, GA",4
Practice Lead for Data and Technology,MHP – A Porsche Company,"Atlanta, GA",4
Power BI Data Analyst,"Allied Technical Resources, Inc","Waynesboro, GA",4
Planning Analyst,"DELTA APPAREL, INC","Duluth, GA",4
Paid Search Analyst,Edible Arrangements Corporate,"Atlanta, GA",4
PT IT Intern,Gwinnett County,"Gwinnett County, GA",4
Outreach Coordinator (GTA),"Technology Authority, Georgia - GTA","Atlanta, GA",4
Operations Systems Manager,DHL Supply Chain,"Fairburn, GA",4
Online Business Insights Analyst,State Farm,"Atlanta, GA",4
Online Affiliate & Marketplace Analyst,Edible Arrangements Corporate,"Atlanta, GA",4
Military-Affiliated Analyst Program,MantraSys,"Alpharetta, GA",4
Material & Process Engr Asc,LOCKHEED MARTIN CORPORATION,"Marietta, GA",4
Marketing Data Analyst,Liquid,"Atlanta, GA",4
Marketing Analytics Specialist,NCR,"Atlanta, GA",4
Marketing Analyst,Benevis,"Marietta, GA",4
Market Intelligence Analyst - SS&P Analytics and Insights,GEORGIA-PACIFIC,"Atlanta, GA",4
Manufacturing Support Team Member,LOCKHEED MARTIN CORPORATION,"Marietta, GA",4
Manufacturing Engineer,Google,"Atlanta, GA",4
"Manager, Oracle Analytics",KPMG,"Atlanta, GA",4
"Manager, Data Utilization",Fulton County Schools,"Fulton County, GA",4
"Manager, Brand Strategy & Performance",InterContinental Hotels Group,"Atlanta, GA",4
Provider Enrollment Specialist,Inovalon,"Snellville, GA",4
Purchasing Analyst,Guardian Pharmacy,"Atlanta, GA",4
Quality Assurance Specialist,Metropolitan Atlanta Rapid Transit Authority (MART...,"Atlanta, GA",4
Sales Operations Analyst,FieldEdge,"Atlanta, GA",4
Senior Corrigo Systems Support,JLL,"Duluth, GA",4
Senior Client Performance Analyst,Cox Automotive,"Atlanta, GA",4
Senior Business Analyst,Delta Air Lines,"Atlanta, GA",4
"Senior Associate, Oracle Analytics",KPMG,"Atlanta, GA",4
Senior Analytics Engineer,thyssenkrupp Elevator Corp,"Alpharetta, GA",4
"Senior Analyst, Data Integrity Group - Investment Portfolio Analytics",Voya Financial,"Atlanta, GA",4
"Senior Analyst, Consumer Insights Analytics",The Home Depot,"Atlanta, GA",4
Senior Analyst,Warner Bros Careers,"Atlanta, GA",4
Senior Analyst,Moxie,"Atlanta, GA",4
Security Analytics Specialist,UNITED PARCEL SERVICE,"Roswell, GA",4
Seafood Category Manager,Rich Products Corporation,"Saint Simons, GA",4
SalesForce.Com – Administrator,IKCN,"Atlanta, GA",4
Sales Support,Vankirk Electric,"Winder, GA",4
Sales Analyst,Wise Snacks,"Atlanta, GA",4
Quantitative Analyst,Bank of America,"Kennesaw, GA",4
SR ANALYST PRICING ANALYTICS,The Home Depot,"Atlanta, GA",4
SIGINT,BAE Systems,"Fort Gordon, GA",4
SEQUENT SR DATA ANALYST II,Gwinnett Medical Center,"Lawrenceville, GA",4
SEO Specialist,DRUM Agency,"Atlanta, GA",4
SALES BUSINESS ANALYST - COMMERCIAL,Mohawk Industries,"Calhoun, GA",4
SABA LMS Expert,Crackajack Solutions,"Atlanta, GA",4
Risk Manager,Kabbage,"Atlanta, GA",4
"Relationship Manager, OSP Permits",Hargray,"Peachtree Corners, GA",4
RCM Analyst - All Covered,Konica Minolta,"Atlanta, GA",4
Quantitative Operations Assoc,Bank of America,"Alpharetta, GA",4
Quantitative Finance Analyst,Bank of America,"Atlanta, GA",4
Quantitative Analytics Specialist 2 - Credit & Operational Risk Track (Quantitative Analytics Program 2020),Wells Fargo,"Atlanta, GA",4
Quantitative Analyst Developer,Axioma Inc.,"Atlanta, GA",4
Retail Sales Representative,Advantage Solutions,"McDonough, GA",4
Industrial Engineer / Data Analytics Intern,XPO Logistics,"Marietta, GA",4
Financial Consultant,Kaiser Permanente,"Atlanta, GA",4
Data Analyst III,Emory,"Atlanta, GA",4
Data Engineer II (ETL Developer),InComm,"Atlanta, GA",4
Data Engineer,TFS,"Duluth, GA",4
Data Engineer,Storj,"Atlanta, GA",4
Data Engineer,Neptune,"Duluth, GA",4
Data Engineer,CoStar Group,"Atlanta, GA",4
Data Engineer,Clutch Technologies,"Atlanta, GA",4
Data Engineer,AnswerRocket,"Atlanta, GA",4
Data Developer IV (temporary),CO-OP Financial Services,"Duluth, GA",4
Data Architect,CoStar Group,"Atlanta, GA",4
Data Architect,"Ceras Health, Inc.","Atlanta, GA",4
"Data Analyst, Catering Operations Analysis and Performance",Delta Air Lines,"Atlanta, GA",4
Data Analyst I,NCCPA,"Johns Creek, GA",4
Data Management Coordinator II,InComm,"Atlanta, GA",4
Data Analyst,CTDI,"Atlanta, GA",4
Data (Decision) Scientist,Purchasing Power,"Atlanta, GA",4
DATA SCIENTIST,Ortec International USA Inc.,"Atlanta, GA",4
DATA MANAGEMENT DIRECTOR,Care.org,"Atlanta, GA",4
Cyber Intel Analyst,NNData,"Augusta, GA",4
Customer Feedback Program Manager,Blue 449,"Duluth, GA",4
Corporate Analyst Program,Fiserv,"Alpharetta, GA",4
Consumer & Patient Analytics Manager,WellStar Shared Services,"Marietta, GA",4
Consulting Delivery Manager,Pandera Systems,"Atlanta, GA",4
Consultant,Inspire11,"Atlanta, GA",4
Cloud Solutions Architect - Data and Analytics,Deloitte,"Atlanta, GA",4
Data Governance Specialist,Daimler,"Atlanta, GA",4
Data Modeler,Xebia,"Atlanta, GA",4
Director – Credit Risk,Rent-A-Center,"Atlanta, GA",4
Data Solutions & Reporting Manager,Hiscox Insurance,"Atlanta, GA",4
Director of Service Operations,Jetty,"Atlanta, GA",4
Director of Research Analytics,Emory University,"Atlanta, GA",4
"Director Marketing Research & Analytics - Atlanta, GA",Comcast,"Norcross, GA",4
Director Client Analytics,Cox Automotive,"Atlanta, GA",4
Digital Content Specialist,"Bronner Bros., Inc.","Atlanta, GA",4
"Developer, Business Intelligence",BlueLinx Corporation,"Marietta, GA",4
Desktop Support Manager,Unisys,"Augusta, GA",4
Database Warehouse Specialist/BI,Leidos,"Atlanta, GA",4
Database Analyst,"Safe-Guard Products International, LLC","Atlanta, GA",4
Data Warehouse Engineer (Business Intelligence),RentPath,"Atlanta, GA",4
Data Sr. Analyst - Customer Experience,NCR,"Atlanta, GA",4
"Data Scientists, Machine Learning (3 Openings)","Cotiviti, Inc.","Atlanta, GA",4
Data Science Marketing Analytics Professional for Miami role!!!,Capgemini,"Atlanta, GA",4
Data Scientist – Python,Gallup,"Atlanta, GA",4
Data Scientist I,National Commission on Certification of Physician...,"Johns Creek, GA",4
Data Scientist Director,Siemens,"Atlanta, GA",4
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Atlanta, GA",4
Data Scientist,Verizon,"Alpharetta, GA",4
Data Scientist,Snapiotech.,"Cumming, GA",4
Data Scientist,Microagility,"Atlanta, GA",4
Data Scientist,IFG Companies,"Atlanta, GA",4
Data Scientist,HD Supply,"Atlanta, GA",4
Data Scientist,"FraudScope, Inc.","Atlanta, GA",4
Data Scientist,Equifax,"Atlanta, GA",4
Cloud Data Analytics Senior Engineer,Deloitte,"Atlanta, GA",4
Client Thought Partner (Southeast),BrightBytes,"Atlanta, GA",4
Claims Manager,Zelis Healthcare,"Atlanta, GA",4
"Analyst, Financial & Capital Modeling",Synchrony,"Alpharetta, GA",4
"Associate, User Acceptance Tester",BlackRock,"Atlanta, GA",4
"Associate, Data Scientist, Natural Language Processing, Financial Services",KPMG,"Atlanta, GA",4
"Associate Consultant, Data Science",Mather Economics,"Atlanta, GA",4
"Associate Consultant, Analytics",Mather Economics,"Atlanta, GA",4
Associate - Manufacturing,McKinsey & Company,"Atlanta, GA",4
Associate - Data & Analytics Modeler,KPMG,"Atlanta, GA",4
Assoc Prod Operations Coord,Risk Solutions,"Duluth, GA",4
Apigee Consultant,Deloitte,"Atlanta, GA",4
Analytics Leader - TechOps,Delta Air Lines,"Atlanta, GA",4
"Analytics Lead - Medical Economics, Medical Expense Review",AETNA,"Atlanta, GA",4
"Analyst,Social Discovery",VML,"Atlanta, GA",4
"Analyst - Multi-client Benchmarks, GCI Analytics",McKinsey & Company,"Atlanta, GA",4
Claims Analytics Analyst II,AmTrust Financial Services,"Alpharetta, GA",4
Analyst,Nielsen,"Atlanta, GA",4
Analyst,Bank of America,"Kennesaw, GA",4
Alpha/Boca - Intern Applications,PepsiCo,"Alpharetta, GA",4
Administrative Assistant,"Veritas Management Group, Inc.","Atlanta, GA",4
AWS Data Engineer,Accenture,"Atlanta, GA",4
ASA P&E Segment Lead,Material Handling System,"Alpharetta, GA",4
ANALYST II,South Georgia Medical Center,"Valdosta, GA",4
2020 Summer Internship Program- Human Resources,Federal Reserve Bank of Atlanta,"Atlanta, GA",4
2020 Business Intelligence Analyst,Textron Specialized Vehicles,"Augusta, GA",4
